DE	EN
** BWL-Studium **	** degree in business administration **
** Bauingenieurwesen **	** construction engineering **
** Biologielaborant/in **	** Biology lab technician **
** Disponent **	** scheduler **
** Englisch (sehr gut in Wort und Schrift) **	** proficient in English (oral and written) **
** Feuerwehr ** Sanität **	** fire department ** paramedic
** Französisch **	** French **
** Fremdsprachenkenntnissen **	** foreign language skills **
** Führungserfahrung **	** Leadership experience **
** Gewinnung von Neukunden ** Akquise	** acquisition of new customers ** acquisition
** Handwerkliche **	** craftmanship **
** IT Spektrum **	** IT spectrum **
** Konstrukteur **	** construction engineer **
** Lebensmittelverkauf **	** Food sales **
** MBA **	** MBA **
** MTRA **	** diagnostic imaging radiology technologist **
** Muttersprache Deutsch **	** Mother tongue German **
** Sehr gute Kenntnisse in Deutsch und Französisch **	** very good knowledge of German and French **
** öffentliche Verwaltung **	** public administration **
.NET, OO-Programmierung, DB-Lösungen ** MS-SQL ** 3-Tier-Architektur, Internet-Programmierung	.NET, OO programming, DB solutions ** MS-SQL ** 3-tier architecture, Internet programming
Financial Consulting ** Bank ** Management	Financial Consulting ** Bank ** Management
Internet Sicherheit Technologien ** VPN ** IP Security	Internet Security Technologies ** VPN ** IP Security
Wirtschaftsinformatik, Informatik, Betriebswirtschaft, IT ** Mathematik **	Business Informatics, Computer Science, Business Administration, IT ** Mathematics **
Wirtschaftsprüfung, Big4, Banking, Private Banking ** Asset- ** Fond Management Auditing, Big4, Banking, Private Banking ** Asset ** and Fund Management
funktionellen Behandlung ** Neurotraining **    functional treatment ** neurotraining **

